Flight Type;Fl No.;Origin;ETA;Reg. No.;Fl No.;Dest;ETD;AC Type;Class;Pax;Gate;Bay
Full;TM4460;APL;15.00;;TM4461;APL;16.25;E90;C;96;1;7
Full;BA065;LHR;20.50;;BA064;LHR;23.25;772;G;302;1;1
Arr;KQ485;DAR;19.33;KYR;;LLW;20.73;E90;C;96;2;0
Full;ET302;ADD;10.33;ETALK;ET303;ADD;11.58;738;D;162;1;0
Dep;;HAH;22.48;KYT;;;23.98;E90;C;96;2;11
Park;;LUN;22.17;FFD;;MPM;24.00;E90;C;0.0;3;35
Full;WB450;EBB;10.67;9XRWJ;WB450;KGL;11.42;737;D;126;2;3
Park;;JNB;0.17;;;JNB;6.90;320;D;0.0;1;33
Park;;ADD;1.17;ETAPF;;ADD;4.40;738;D;0.0;2;1
Arr;KQ503;ACC;22.00;KYF;;TNR;23.40;738;D;162;4;0
Arr;KQ487;DAR;22.25;KYQ;;JRO;23.65;E90;C;96;5;19
Dep;;CAN;12.08;;CZ634;CAN;13.58;330;F;268;4;3
Dep;;LUN;10.67;FFD;KQ740;MPM;12.17;E90;C;96;3;9
Full;KQ8655;KIS;19.67;BWG;;;23.98;AT7;A;72;6;32
Full;EK721;DXB;19.00;;EK722;DUB;22.83;773;G;385;8;9
Dep;;EDL;8.00;QUE;KQ8690;UKU;9.50;AT7;A;72;1;19
Arr;KQ331;JED;6.92;FFE;;LUN;8.32;E90;C;96;3;8
Full;KQ780;HRE;22.00;KYQ;;;23.98;E90;C;96;10;16
Park;;ACC;23.50;KYF;;TNR;24.00;738;D;0.0;8;27
Full;KQ640D.;MBA;13.75;FFJ;KQ484;DAR;15.92;E90;C;96;2;2
Park;;ADD;13.83;ETAQO;;ADD;15.98;738;D;0.0;3;34
Full;KQ607;MBA;15.75;FFK;KQ414;EBB;16.67;E90;C;96;4;1
Park;;COO;22.42;CYA;;LOS;24.00;738;D;0.0;11;34
Full;KQ8611;MBA;22.67;BWG;;;23.98;AT7;A;72;12;23
Full;KQ657;KIS;15.42;FFG;KQ642;MYD;16.50;E90;C;96;5;5
Full;PW725;JRO;19.33;PWC;;;23.98;AT7;A;72;13;22
Arr;KQ417;EBB;22.25;KYS;;DAR;23.65;E90;C;96;14;7
Full;KQ8691;UKU;11.50;QHW;KQ8652;KIS;12.00;AT7;A;72;5;20
Full;MK534;MRU;11.83;;MK535;MRU;13.08;332;F;233;6;1
Full;TM4460;APL;15.00;;TM4461;APL;16.25;E90;C;96;6;3
Full;BA065;LHR;20.50;;BA064;LHR;23.25;772;G;302;15;2
Full;KQ611;MBA;19.17;KYS;KQ618;MBA;19.92;E90;C;96;1;7
Dep;;ADD;4.50;;ET309;ADD;6.00;738;D;162;3;4
Full;TK6510;FIH;18.50;;TK6492;IST;21.00;330;F;268;3;3
Full;KQ353;JUB;18.17;FFF;KQ616;MBA;18.92;E90;C;96;4;11
Park;;JRO;20.83;PWA;;ZNZ;24.00;AT7;A;0.0;17;41
Full;KQ765;JNB;6.92;CYB;KQ502;ACC;9.00;738;D;162;4;4
Full;KQ417;EBB;22.25;KYR;;;23.98;E90;C;96;18;14
Park;;HAH;19.17;KYT;;;22.38;E90;C;0.0;19;24
Full;KQ8655.;KIS;7.83;BWG;KQ8602;MBA;8.83;AT7;A;72;16;18
Full;KQ499;ZNZ;7.00;KYR;KQ494;ZNZ;8.00;E90;C;96;5;7
Arr;KQ503;ACC;22.00;KYF;;TNR;23.40;738;D;162;20;3
Dep;;TNR;6.67;FFC;KQ706;HRE;8.17;E90;C;96;6;9
Dep;;JED;10.92;FFE;KQ726;LUN;12.42;E90;C;96;7;7
Arr;KQ487;DAR;22.25;KYQ;;JRO;23.65;E90;C;96;21;13
Full;KQ522;NSI;20.50;KYE;;;23.98;738;D;162;22;5
Full;ET302;ADD;10.33;ETALK;ET303;ADD;11.58;738;D;162;8;4
Full;KQ263;TNR;6.83;KQG;KQ512;DKR;8.17;737;D;126;7;0
Arr;KQ619;MBA;22.75;FFB;;ABV;24.00;E90;C;96;1;8
Park;;CAN;8.50;;;CAN;11.98;330;F;0.0;9;14
Park;;CAN;8.50;;;CAN;11.98;330;F;0.0;10;11
Full;KQ353;JUB;18.17;FFF;KQ616;MBA;18.92;E90;C;96;5;5
Arr;KQ444;KGL;21.25;FFF;;BJM;22.65;E90;C;96;2;12
Arr;ET304;ADD;12.33;ETAQO;;ADD;13.73;738;D;162;1;4
Park;;MBA;19.17;KQB;;;22.38;73J;E;0.0;7;38
Park;;MBA;0.25;FFB;;ABV;6.48;E90;C;0.0;5;22
Arr;KQ487;DAR;22.25;KYQ;;JRO;23.65;E90;C;96;3;17
Dep;;JRO;6.67;PWA;PW710;ZNZ;8.17;AT7;A;72;8;20
Full;KQ871;HAN;6.75;KZC;KQ210;BOM;7.83;788;F;234;9;2
Park;;MBA;13.92;KQB;;MBA;24.00;73J;E;0.0;7;28
Full;KQ771;LAD;21.25;KQF;KQ624;MBA;22.92;737;D;126;4;6
Full;SA184;JNB;15.25;;SA185;JNB;16.08;320;D;150;8;0
Park;;MBA;13.92;KQB;;MBA;24.00;73J;E;0.0;9;29
Full;KQ263;TNR;6.83;KQG;KQ512;DKR;8.17;737;D;126;13;5
Full;KQ734;LLW;6.25;FFJ;KQ640;MYD;10.00;E90;C;96;2;6
Full;KQ8681;MYD;16.33;BWG;KQ8654;KIS;17.67;AT7;A;72;10;20
Park;;EDL;20.67;QUE;;UKU;24.00;AT7;A;0.0;5;36
Park;;CAN;8.50;;;CAN;11.98;330;F;0.0;12;13
Full;QR1337;DOH;9.50;;QR1338;DOH;12.58;320;D;150;13;2
Full;KQ495;ZNZ;11.17;KYP;KQ412;EBB;12.00;E90;C;96;14;8
Full;KQ353;JUB;18.17;FFF;KQ616;MBA;18.92;E90;C;96;6;6
Park;;ABJ;7.83;KYD;;EBB;21.32;738;D;0.0;11;39
Park;;ADD;13.83;ETAQO;;ADD;15.98;738;D;0.0;12;35
Full;LX294;ZRH;18.67;;LX295;DAR;19.58;330;F;268;10;1
Full;KQ415;EBB;19.75;FFK;KQ348;KRT;22.83;E90;C;96;6;21
Full;KQ8611;MBA;22.67;BWG;;;23.98;AT7;A;72;9;31
Full;KQ603;MBA;11.17;KQH;KQ250;SEZ;11.83;737;D;126;15;6
Full;KQ8613;MBA;22.83;QUE;;;23.98;AT7;A;72;10;30
Dep;;HAH;22.48;KYT;;;23.98;E90;C;96;11;4
Arr;KQ444;KGL;21.25;FFF;;BJM;22.65;E90;C;96;8;18
Full;KQ537;ABV;19.33;FFB;KQ720;LUN;22.17;E90;C;96;13;8
Full;PW725;JRO;19.33;PWC;;;23.98;AT7;A;72;15;20
Full;KQ433;JRO;10.83;KYQ;KQ780;HRE;13.00;E90;C;96;16;10
Arr;KQ349;KRT;6.58;KYT;;HAH;7.98;E90;C;96;10;11
Full;SA184;JNB;15.25;;SA185;JNB;16.08;320;D;150;13;4
Full;KQ101;LHR;6.50;KZZ;KQ116;AMS;8.25;773;G;385;14;3
Full;KQ353;JUB;18.17;FFF;KQ616;MBA;18.92;E90;C;96;12;2
Full;KQ533;LOS;19.92;CYA;KQ764;JNB;21.75;738;D;162;12;4
Full;KQ117;AMS;6.33;KZX;KQ116;AMS;8.58;773;G;385;15;1
Park;;ADD;1.17;ETAPF;;ADD;4.40;738;D;0.0;4;30
Dep;;EBB;6.25;KYS;KQ480;DAR;7.75;E90;C;96;12;10
Full;KQ741;MPM;21.08;FFD;;;23.98;E90;C;96;14;15
Full;KQ655;KIS;12.08;FFK;KQ606;MBA;13.08;E90;C;96;2;5
Full;KQ483;DAR;15.67;KYS;KQ610;MBA;16.50;E90;C;96;14;6
Full;KQ483;DAR;15.67;KYS;KQ610;MBA;16.50;E90;C;96;15;9
Arr;KQ265;HAH;17.67;KYT;;;19.07;E90;C;96;14;4
Park;;MBA;13.92;KQB;;MBA;24.00;73J;E;0.0;16;25
Park;;DAR;23.75;KYQ;;JRO;24.00;E90;C;0.0;19;40
Full;EK721;DXB;19.00;;EK722;DUB;22.83;773;G;385;16;10
Full;KQ413;EBB;15.08;KYP;KQ444;KGL;16.17;E90;C;96;17;8
Park;;ABJ;7.83;KYD;;EBB;21.32;738;D;0.0;18;33
Arr;ET304;ADD;12.33;ETAQO;;ADD;13.73;738;D;162;8;0