Operation;A/C Type;Pax;Terminal;Refuel;Overnight Bay;ETA;Origin;Arrival;ETD;Destination;Departure
Full;G;100;A;1;0;20.30;LHR;BA065;23.15;LHR;BA064
Full;G;231;A;1;0;14.30;DXB;EK719;16.40;DUB;EK720
Full;D;198;A;1;0;10.20;ADD;ET302;11.35;ADD;ET303
Arrival;D;0;A;0;0;12.20;ADD;ET304;13.49;-;-
Park;D;0;A;0;0;13.50;-;-;15.59;-;-
Departure;D;190;A;1;0;16.00;-;-;17.35;ADD;ET305
Full;E;67;A;0;0;18.15;ADD;ET306;19.35;ADD;ET307
Park;D;0;A;0;16;0.00;-;-;6.45;-;-
Departure;D;30;A;0;0;6.46;-;-;7.58;ADD;ET309
Arrival;C;0;A;0;0;23.45;ADD;ET308;23.57;-;-
Park;C;0;A;0;0;23.58;-;-;23.59;-;-
Full;D;189;C;1;0;12.47;AUH;EY641;13.40;AUH;EY642
Full;D;150;A;1;0;13.06;SHJ;G9734;13.40;SHJ;G9735
Full;H;364;A;1;0;20.25;MAS;KL565;22.25;MAS;KL566
Arrival;F;0;A;0;0;6.30;LHR;KQ101;7.59;-;-
Park;F;0;A;0;0;8.00;-;-;17.44;-;-
Departure;F;202;A;1;0;17.45;-;-;19.2;DXB;KQ310
Full;G;128;C;1;0;6.10;MAS;KQ117;8.35;MAS;KQ116
Full;D;158;A;1;0;10.30;BOM;KQ205;12.05;LUN;KQ704
Full;C;95;A;1;0;18.25;SEZ;KQ251;21.30;JED;KQ330
Arrival;F;0;A;0;0;6.55;DXB;KQ311;8.24;-;-
Park;F;0;A;0;0;8.25;-;-;10.34;-;-
Departure;F;175;A;1;0;10.35;-;-;12.05;FIH;KQ554
Full;C;93;D;1;0;12.10;JUB;KQ351;14.15;MBA;KQ608
Full;C;79;D;1;0;18.00;JUB;KQ353;22.55;MBA;KQ624
Full;C;90;C;1;0;17.30;ADD;KQ403;19.10;EBB;KQ416
Full;D;167;A;1;0;11.05;EBB;KQ411;12.00;EBB;KQ412
Arrival;D;0;A;0;0;15.05;EBB;KQ413;16.34;-;-
Park;D;0;A;0;0;16.35;-;-;23.59;-;-
Full;C;67;B;1;0;22.15;EBB;KQ417;23.20;KGL;KQ466
Full;C;88;B;1;0;6.35;EBB;KQ419;8.00;JRO;KQ432
Arrival;C;0;A;0;0;10.45;JRO;KQ433;12.14;-;-
Park;C;0;A;0;0;12.15;-;-;14.39;-;-
Departure;C;70;A;1;0;14.40;-;-;16.10;BJM;KQ444
Arrival;C;70;B;0;0;6.05;KGL;KQ447;7.29;-;-
Park;C;0;B;0;0;7.30;-;-;10.49;-;-
Departure;C;46;B;1;0;10.50;-;-;12.25;APL;KQ748
Arrival;C;70;C;0;0;12.50;BJM;KQ448;14.14;-;-
Park;C;0;C;0;0;14.15;-;-;17.14;-;-
Departue;C;71;C;1;0;17.15;-;-;18.50;KYS;KQ486
Full;D;126;A;1;0;11.10;DAR;KQ481;12.30;NLA;KQ586
Arrival;A;0;A;0;0;21.15;ZNZ;PW715;23.57;-;-
Park;A;0;A;0;0;23.58;-;-;23.59;-;-
Park;A;0;A;0;27;0.00;-;-;6.34;-;-
Departure;A;120;A;1;0;6.35;-;-;8.10;ZNZ;PW710
Full;F;190;A;1;0;20.25;FIH;KQ555;23.05;CGD;KQ112
Full;F;210;A;1;0;21.45;BRU;SN463;22.45;BRU;SN463
Full;D;178;C;1;0;9.30;DOH;QR1337;12.35;DOH;QR1338
Full;F;298;C;1;0;18.40;ZRH;LX294;19.35;DAR;LX295
Full;D;178;C;1;0;7.10;CAI;MS849;8.10;CAI;MS850